STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySkyConditions,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,Sunrise,Sunset,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,AWND,CDSD,CLDD,DSNW,HDSD,HTDD,DYTS,DYHF,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,REM,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,WindEquipmentChangeDate
72412003872,2010-01-01T02:22:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,34,T,-SN:03 BR:1 |SN |,,,87,OVC:08 1,,27.37,3,32,330,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11701/01/10 02:22:02 SPECI KBKW 010722Z 33004KT 3SM -SN BR OVC001 01/M01 A2999 RMK AO2 VIS 1/2 RWY19 RAB04E16SNB16 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T02:29:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,32,T,-SN:03 BR:1 |SN |,,,93,OVC:08 1,,27.37,2.5,31,320,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12101/01/10 02:29:02 SPECI KBKW 010729Z 32004KT 2 1/2SM -SN BR OVC001 00/M01 A2999 RMK AO2 VIS 1/2 RWY19 RAB04E16SNB16 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T02:43:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,32,T,-SN:03 BR:1 |SN |,,,93,OVC:08 1,,27.37,0.75,31,280,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10501/01/10 02:43:02 SPECI KBKW 010743Z 28004KT 3/4SM -SN BR OVC001 00/M01 A2999 RMK AO2 RAB04E16SNB16 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T02:49:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,6,29.99,30,32,,-SN:03 BR:1 |SN |,,,93,BKN:07 1 BKN:07 7 OVC:08 14,,27.37,1.25,31,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET14001/01/10 02:49:02 SPECI KBKW 010749Z 30006KT 1 1/4SM -SN BR BKN001 BKN007 OVC014 00/M01 A2999 RMK AO2 VIS 1/2 RWY19 RAB04E16SNB16 P0000 FIBI,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T02:51:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-15,7,29.99,31,32,T,-SN:03 BR:1 |SN |,,,96,BKN:07 1 BKN:07 7 OVC:08 14,30.05,27.37,1.75,32,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET15201/01/10 02:51:02 METAR KBKW 010751Z 30006KT 1 3/4SM -SN BR BKN001 BKN007 OVC014 00/M01 A2999 RMK AO2 VIS 3/4 RWY19 RAB04E16SNB16 SLP176 P0000 T00001006,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T02:54:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,32,T,-SN:03 BR:1 |SN |,,,93,BKN:07 1 BKN:07 7 OVC:08 20,,27.37,3,31,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11901/01/10 02:54:02 SPECI KBKW 010754Z 30006KT 3SM -SN BR BKN001 BKN007 OVC020 00/M01 A2999 RMK AO2 VIS 1 1/4 RWY19 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T03:03:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,32,T,-SN:03 BR:1 |SN |,,,93,FEW:02 1 BKN:07 5 OVC:08 20,,27.37,4,31,300,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10301/01/10 03:03:02 SPECI KBKW 010803Z 30005KT 4SM -SN BR FEW001 BKN005 OVC020 00/M01 A2999 RMK AO2 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T03:39:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,7,29.99,30,32,T,-SN:03 BR:1 |SN |,,,93,BKN:07 5 OVC:08 20,,27.37,2.5,31,300,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12801/01/10 03:39:02 SPECI KBKW 010839Z 30004KT 2 1/2SM -SN BR BKN005 OVC020 00/M01 A2999 RMK AO2 VIS 1 1/4 RWY19 CIG 002V009 P0000,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T03:49:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-16,6,29.99,30,32,,-SN:03 BR:1 |SN |,,,93,BKN:07 5 OVC:08 20,,27.37,4,31,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11301/01/10 03:49:02 SPECI KBKW 010849Z 30006KT 4SM -SN BR BKN005 OVC020 00/M01 A2999 RMK AO2 CIG 002V009 P0000 FIBI,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
72412003872,2010-01-01T03:51:00,37.78359,-81.12283,760.2,"BECKLEY RALEIGH CO AIRPORT, WV US",FM-15,7,29.99,30,32,T,BR:1 ||,-0.01,1,92,OVC:08 5,30.05,27.37,5,31,290,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13201/01/10 03:51:02 METAR KBKW 010851Z 29007KT 5SM BR OVC005 00/M01 A2999 RMK AO2 SNE50 CIG 002V009 SLP177 P0000 60000 T00001011 51003,NE,4,mi,"TEMP, PRECIP, SNOW",2330,"MMTS, SRG, SNOWBOARD",37.76475,-81.19405,"BECKLEY VA HOSPITAL, WV",2007-03-09
